계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,주석,회전,각도,길이,끝 X,끝 Y,델타 X,델타 Y,시작 X,시작 Y,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y
1,doorBlockBoth,DR,미터,ByLayer,26.10,17.91,,270.00,,,,,,,,,,,,,,
2,선,DR,,ByLayer,,,,,90.00,0.04,26.10,17.91,0.00,0.00,26.10,17.91,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.96,26.10,17.91,0.00,0.00,26.10,17.91,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,0.00,87.33,26.10,17.91
2,선,DR,,ByLayer,,,,,0.00,0.96,26.10,17.91,0.00,0.00,26.10,17.91,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,92.67,87.33,26.10,17.91
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,92.67,87.33,48.10,37.92
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,0.00,87.33,48.10,17.91
2,선,DR,,ByLayer,,,,,90.00,0.04,48.10,17.91,0.00,0.00,48.10,17.91,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,92.67,87.33,48.10,17.91
1,doorBlockBoth,DR,미터,ByLayer,48.10,17.91,,270.00,,,,,,,,,,,,,,
2,선,DR,,ByLayer,,,,,0.00,0.96,48.10,17.91,0.00,0.00,48.10,17.91,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.96,48.10,17.91,0.00,0.00,48.10,17.91,,,,,,
1,doorBlockBoth,DR,미터,ByLayer,48.10,37.92,,270.00,,,,,,,,,,,,,,
3,선,DR,,ByLayer,,,,,0.00,0.96,48.10,37.92,0.00,0.00,48.10,37.92,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.05,48.10,17.91,0.00,0.00,48.10,17.91,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.04,48.10,17.91,0.00,0.00,48.10,17.91,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.96,48.10,17.91,0.00,0.00,48.10,17.91,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.04,26.10,17.91,0.00,0.00,26.10,17.91,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.04,22.10,15.98,0.00,0.00,22.10,15.98,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.97,22.10,15.98,0.00,0.00,22.10,15.98,,,,,,
2,선,DR,,ByLayer,,,,,90.00,0.04,22.10,15.98,0.00,0.00,22.10,15.98,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.97,92.67,87.33,22.10,15.98
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.97,0.00,87.33,22.10,15.98
1,선,DR,,ByLayer,,,,,90.00,0.05,22.10,15.98,0.00,0.00,22.10,15.98,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.97,0.00,87.33,22.10,26.24
2,선,DR,,ByLayer,,,,,90.00,0.04,22.10,26.24,0.00,0.00,22.10,26.24,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.97,92.67,87.33,22.10,26.24
1,doorBlockBoth,DR,미터,ByLayer,22.10,26.24,,90.00,,,,,,,,,,,,,,
3,선,DR,,ByLayer,,,,,180.00,0.97,22.10,26.24,0.00,0.00,22.10,26.24,,,,,,
3,선,DR,,ByLayer,,,,,180.00,0.97,22.10,15.98,0.00,0.00,22.10,15.98,,,,,,
3,선,DR,,ByLayer,,,,,180.00,0.97,44.10,22.14,0.00,0.00,44.10,22.14,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.97,92.67,87.33,44.10,22.14
1,doorBlockBoth,DR,미터,ByLayer,44.10,22.14,,90.00,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.96,26.10,17.91,0.00,0.00,26.10,17.91,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.05,26.10,17.91,0.00,0.00,26.10,17.91,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.97,0.00,87.33,44.10,22.14
1,선,DR,,ByLayer,,,,,90.00,0.05,44.10,22.14,0.00,0.00,44.10,22.14,,,,,,
1,doorBlockBoth,DR,미터,ByLayer,22.10,15.98,,90.00,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.97,44.10,22.14,0.00,0.00,44.10,22.14,,,,,,
2,선,DR,,ByLayer,,,,,90.00,0.04,44.10,22.14,0.00,0.00,44.10,22.14,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.04,44.10,22.14,0.00,0.00,44.10,22.14,,,,,,
1,선,W,,ByLayer,,,,,180.00,2.00,28.28,32.27,-2.00,0.00,30.28,32.27,,,,,,
1,선,W,,ByLayer,,,,,180.00,0.20,48.00,15.98,-0.20,0.00,48.20,15.98,,,,,,
1,선,W,,ByLayer,,,,,180.00,7.86,32.21,32.27,-7.86,0.00,40.07,32.27,,,,,,
1,선,W,,ByLayer,,,,,0.00,7.86,40.07,32.07,7.86,0.00,32.21,32.07,,,,,,
1,선,W,,ByLayer,,,,,180.00,0.20,48.00,17.91,-0.20,0.00,48.20,17.91,,,,,,
1,선,W,,ByLayer,,,,,270.00,0.20,32.21,28.07,0.00,-0.20,32.21,28.27,,,,,,
1,선,W,,ByLayer,,,,,270.00,0.20,30.28,28.07,0.00,-0.20,30.28,28.27,,,,,,
1,선,W,,ByLayer,,,,,0.00,0.20,44.20,24.07,0.20,0.00,44.00,24.07,,,,,,
1,선,W,,ByLayer,,,,,180.00,0.20,44.00,22.14,-0.20,0.00,44.20,22.14,,,,,,
1,선,W,,ByLayer,,,,,0.00,2.20,44.20,32.07,2.20,0.00,42.00,32.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,8.33,22.00,17.91,0.00,-8.33,22.00,26.24,,,,,,
1,선,W,,ByLayer,,,,,0.00,4.15,30.28,32.07,4.15,0.00,26.13,32.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.85,22.00,12.13,0.00,-3.85,22.00,15.98,,,,,,
1,선,W,,ByLayer,,,,,270.00,8.33,22.20,17.91,0.00,-8.33,22.20,26.24,,,,,,
1,선,W,,ByLayer,,,,,180.00,11.85,12.35,32.27,-11.85,0.00,24.20,32.27,,,,,,
1,선,W,,ByLayer,,,,,270.00,0.20,42.00,32.07,0.00,-0.20,42.00,32.27,,,,,,
1,선,W,,ByLayer,,,,,90.00,0.20,40.07,32.27,0.00,0.20,40.07,32.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,0.20,30.28,32.07,0.00,-0.20,30.28,32.27,,,,,,
1,선,W,,ByLayer,,,,,90.00,0.20,32.21,32.27,0.00,0.20,32.21,32.07,,,,,,
1,선,W,,ByLayer,,,,,180.00,4.28,26.00,28.27,-4.28,0.00,30.28,28.27,,,,,,
1,선,W,,ByLayer,,,,,270.00,18.08,48.00,17.91,0.00,-18.08,48.00,35.99,,,,,,
1,선,W,,ByLayer,,,,,180.00,46.50,11.85,11.63,-46.50,0.00,58.35,11.63,,,,,,
1,선,W,,ByLayer,,,,,180.00,0.20,48.00,35.99,-0.20,0.00,48.20,35.99,,,,,,
1,선,W,,ByLayer,,,,,270.00,7.72,48.20,28.27,0.00,-7.72,48.20,35.99,,,,,,
1,선,W,,ByLayer,,,,,180.00,9.65,12.35,12.13,-9.65,0.00,22.00,12.13,,,,,,
1,선,W,,ByLayer,,,,,180.00,3.80,44.20,12.13,-3.80,0.00,48.00,12.13,,,,,,
1,선,W,,ByLayer,,,,,180.00,9.65,48.20,12.13,-9.65,0.00,57.85,12.13,,,,,,
1,선,W,,ByLayer,,,,,180.00,3.80,22.20,12.13,-3.80,0.00,26.00,12.13,,,,,,
1,선,W,,ByLayer,,,,,180.00,17.80,26.20,12.13,-17.80,0.00,44.00,12.13,,,,,,
1,선,W,,ByLayer,,,,,180.00,0.20,48.00,37.92,-0.20,0.00,48.20,37.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,10.01,44.00,12.13,0.00,-10.01,44.00,22.14,,,,,,
1,선,W,,ByLayer,,,,,0.00,0.20,26.20,17.91,0.20,0.00,26.00,17.91,,,,,,
1,선,W,,ByLayer,,,,,0.00,11.80,44.00,28.07,11.80,0.00,32.21,28.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,10.01,44.20,12.13,0.00,-10.01,44.20,22.14,,,,,,
1,선,W,,ByLayer,,,,,0.00,0.20,26.20,15.98,0.20,0.00,26.00,15.98,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.85,48.20,12.13,0.00,-3.85,48.20,15.98,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.85,48.00,12.13,0.00,-3.85,48.00,15.98,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.85,26.20,12.13,0.00,-3.85,26.20,15.98,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.85,26.00,12.13,0.00,-3.85,26.00,15.98,,,,,,
1,선,W,,ByLayer,,,,,270.00,9.65,28.28,32.27,0.00,-9.65,28.28,41.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,9.65,28.08,32.27,0.00,-9.65,28.08,41.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,9.85,44.20,32.07,0.00,-9.85,44.20,41.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,9.65,44.00,32.27,0.00,-9.65,44.00,41.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.90,22.20,28.17,0.00,-3.90,22.20,32.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,10.16,26.20,17.91,0.00,-10.16,26.20,28.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,10.36,26.00,17.91,0.00,-10.36,26.00,28.27,,,,,,
1,선,W,,ByLayer,,,,,180.00,12.00,32.21,28.27,-12.00,0.00,44.20,28.27,,,,,,
1,선,W,,ByLayer,,,,,270.00,4.20,44.20,24.07,0.00,-4.20,44.20,28.27,,,,,,
1,선,W,,ByLayer,,,,,270.00,4.00,48.00,37.92,0.00,-4.00,48.00,41.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,30.79,11.85,11.63,0.00,-30.79,11.85,42.42,,,,,,
1,선,W,,ByLayer,,,,,270.00,9.65,12.35,32.27,0.00,-9.65,12.35,41.92,,,,,,
1,선,W,,ByLayer,,,,,180.00,9.65,48.20,41.92,-9.65,0.00,57.85,41.92,,,,,,
1,선,W,,ByLayer,,,,,180.00,46.50,11.85,42.42,-46.50,0.00,58.35,42.42,,,,,,
1,선,W,,ByLayer,,,,,270.00,13.65,57.85,28.27,0.00,-13.65,57.85,41.92,,,,,,
1,선,W,,ByLayer,,,,,180.00,9.65,48.20,28.27,-9.65,0.00,57.85,28.27,,,,,,
1,선,W,,ByLayer,,,,,270.00,4.00,48.20,37.92,0.00,-4.00,48.20,41.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,30.79,58.35,11.63,0.00,-30.79,58.35,42.42,,,,,,
1,선,W,,ByLayer,,,,,0.00,9.65,22.00,32.07,9.65,0.00,12.35,32.07,,,,,,
1,선,W,,ByLayer,,,,,180.00,1.95,26.13,32.27,-1.95,0.00,28.08,32.27,,,,,,
1,선,W,,ByLayer,,,,,0.00,0.20,22.20,15.98,0.20,0.00,22.00,15.98,,,,,,
1,선,W,,ByLayer,,,,,0.00,0.20,22.20,17.91,0.20,0.00,22.00,17.91,,,,,,
1,선,W,,ByLayer,,,,,270.00,15.94,57.85,12.13,0.00,-15.94,57.85,28.07,,,,,,
1,선,W,,ByLayer,,,,,0.00,4.07,30.28,28.07,4.07,0.00,26.20,28.07,,,,,,
1,선,W,,ByLayer,,,,,0.00,0.20,22.20,28.17,0.20,0.00,22.00,28.17,,,,,,
1,선,W,,ByLayer,,,,,90.00,0.20,26.13,32.27,0.00,0.20,26.13,32.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.85,22.20,12.13,0.00,-3.85,22.20,15.98,,,,,,
1,선,W,,ByLayer,,,,,180.00,0.20,22.00,26.24,-0.20,0.00,22.20,26.24,,,,,,
1,선,W,,ByLayer,,,,,90.00,0.20,24.20,32.27,0.00,0.20,24.20,32.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,4.00,44.00,24.07,0.00,-4.00,44.00,28.07,,,,,,
1,선,W,,ByLayer,,,,,0.00,2.00,24.20,32.07,2.00,0.00,22.20,32.07,,,,,,
1,선,W,,ByLayer,,,,,270.00,19.94,12.35,12.13,0.00,-19.94,12.35,32.07,,,,,,
1,선,W,,ByLayer,,,,,180.00,15.73,12.35,41.92,-15.73,0.00,28.08,41.92,,,,,,
1,선,W,,ByLayer,,,,,270.00,3.90,22.00,28.17,0.00,-3.90,22.00,32.07,,,,,,
1,선,W,,ByLayer,,,,,180.00,2.00,42.00,32.27,-2.00,0.00,44.00,32.27,,,,,,
1,선,W,,ByLayer,,,,,270.00,10.16,48.20,17.91,0.00,-10.16,48.20,28.07,,,,,,
1,선,W,,ByLayer,,,,,0.00,9.65,57.85,28.07,9.65,0.00,48.20,28.07,,,,,,
1,선,W,,ByLayer,,,,,180.00,15.73,28.28,41.92,-15.73,0.00,44.00,41.92,,,,,,
1,선,W,,ByLayer,,,,,180.00,3.80,44.20,41.92,-3.80,0.00,48.00,41.92,,,,,,
